State Name,State Abbrev,County Name,Unemployed,Month,Year
Montana,MT,MONTANA TOTAL,"22,012",3,2020
Montana,MT,Beaverhead,170,3,2020
Montana,MT,Big Horn,354,3,2020
Montana,MT,Blaine,105,3,2020
Montana,MT,Broadwater,125,3,2020
Montana,MT,Carbon,243,3,2020
Montana,MT,Carter,17,3,2020
Montana,MT,Cascade,"1,393",3,2020
Montana,MT,Chouteau,82,3,2020
Montana,MT,Custer,231,3,2020
Montana,MT,Daniels,27,3,2020
Montana,MT,Dawson,136,3,2020
Montana,MT,Deer Lodge,203,3,2020
Montana,MT,Fallon,39,3,2020
Montana,MT,Fergus,257,3,2020
Montana,MT,Flathead,"2,873",3,2020
Montana,MT,Gallatin,"1,737",3,2020
Montana,MT,Garfield,23,3,2020
Montana,MT,Glacier,436,3,2020
Montana,MT,Golden Valley,18,3,2020
Montana,MT,Granite,123,3,2020
Montana,MT,Hill,273,3,2020
Montana,MT,Jefferson,235,3,2020
Montana,MT,Judith Basin,42,3,2020
Montana,MT,Lake,625,3,2020
Montana,MT,Lewis and Clark,"1,209",3,2020
Montana,MT,Liberty,26,3,2020
Montana,MT,Lincoln,850,3,2020
Montana,MT,Madison,191,3,2020
Montana,MT,McCone,19,3,2020
Montana,MT,Meagher,31,3,2020
Montana,MT,Mineral,186,3,2020
Montana,MT,Missoula,"2,525",3,2020
Montana,MT,Musselshell,112,3,2020
Montana,MT,Park,406,3,2020
Montana,MT,Petroleum,10,3,2020
Montana,MT,Phillips,82,3,2020
Montana,MT,Pondera,100,3,2020
Montana,MT,Powder River,31,3,2020
Montana,MT,Powell,135,3,2020
Montana,MT,Prairie,22,3,2020
Montana,MT,Ravalli,969,3,2020
Montana,MT,Richland,186,3,2020
Montana,MT,Roosevelt,219,3,2020
Montana,MT,Rosebud,177,3,2020
Montana,MT,Sanders,354,3,2020
Montana,MT,Sheridan,56,3,2020
Montana,MT,Silver Bow,780,3,2020
Montana,MT,Stillwater,173,3,2020
Montana,MT,Sweet Grass,55,3,2020
Montana,MT,Teton,108,3,2020
Montana,MT,Toole,69,3,2020
Montana,MT,Treasure,8,3,2020
Montana,MT,Valley,152,3,2020
Montana,MT,Wheatland,39,3,2020
Montana,MT,Wibaux,17,3,2020
Montana,MT,Yellowstone,"2,897",3,2020