"Weekly Wyoming Unemployment Insurance Claims by County of Claimant Residence, 2019-2020",,,,,,
Platte,2019,17,27/4/2019,,,
Platte,2019,16,20/4/2019,,,
Platte,2019,15,13/4/2019,23,8,23
Platte,2019,14,6/4/2019,,,
Platte,2019,13,30/3/2019,,,
Platte,2019,12,23/3/2019,23,6,26
Platte,2019,11,16/3/2019,21,0,27
Platte,2019,10,9/3/2019,,,
Platte,2019,9,2/3/2019,,,
Platte,2019,8,23/2/2019,,,
Platte,2019,7,16/2/2019,,,
Platte,2019,6,9/2/2019,,,
Platte,2019,5,2/2/2019,,,
Platte,2019,4,26/1/2019,,,
Platte,2019,3,19/1/2019,,,
Platte,2019,2,12/1/2019,37,20,38
Platte,2019,1,5/1/2019,31,10,39
Sheridan,2020,16,18/4/2020,308,105,690
Sheridan,2020,15,11/4/2020,311,180,618
Sheridan,2020,14,4/4/2020,302,318,437
Sheridan,2020,13,28/3/2020,250,320,268
Sheridan,2020,12,21/3/2020,171,185,180
Sheridan,2020,11,14/3/2020,123,26,191
Sheridan,2020,10,7/3/2020,119,11,204
Sheridan,2020,9,29/2/2020,122,20,205
Sheridan,2020,8,22/2/2020,121,32,194
Sheridan,2020,7,15/2/2020,124,31,202
Sheridan,2020,6,8/2/2020,116,35,193
Sheridan,2020,5,1/2/2020,116,20,201
Sheridan,2020,4,25/1/2020,110,30,186
Sheridan,2020,3,18/1/2020,106,26,180
Sheridan,2020,2,11/1/2020,107,49,169
Sheridan,2020,1,4/1/2020,101,40,152
Sheridan,2019,52,28/12/2019,94,31,137
Sheridan,2019,51,21/12/2019,98,34,130
Sheridan,2019,50,14/12/2019,94,20,128
Sheridan,2019,49,7/12/2019,96,29,117
Sheridan,2019,48,30/11/2019,80,21,107
Sheridan,2019,47,23/11/2019,87,23,100
Sheridan,2019,46,16/11/2019,79,17,89
Sheridan,2019,45,9/11/2019,76,28,84
Sheridan,2019,44,2/11/2019,70,27,69
Sheridan,2019,43,26/10/2019,57,12,57
Sheridan,2019,42,19/10/2019,55,14,56
Sheridan,2019,41,12/10/2019,51,14,47
Sheridan,2019,40,5/10/2019,53,15,45
Sheridan,2019,39,28/9/2019,45,6,45
Sheridan,2019,38,21/9/2019,47,7,48
Sheridan,2019,37,14/9/2019,48,8,44
Sheridan,2019,36,7/9/2019,42,6,42
Sheridan,2019,35,31/8/2019,50,9,49
Sheridan,2019,34,24/8/2019,53,12,48
Sheridan,2019,33,17/8/2019,,,
Sheridan,2019,32,10/8/2019,44,6,55
Sheridan,2019,31,3/8/2019,,,
Sheridan,2019,30,27/7/2019,45,9,57
Sheridan,2019,29,20/7/2019,43,5,55
Sheridan,2019,28,13/7/2019,44,10,57
Sheridan,2019,27,6/7/2019,,,
Sheridan,2019,26,29/6/2019,53,5,74
Sheridan,2019,25,22/6/2019,53,12,68
Sheridan,2019,24,15/6/2019,53,13,63
Sheridan,2019,23,8/6/2019,61,14,66
Sheridan,2019,22,1/6/2019,64,13,73
Sheridan,2019,21,25/5/2019,57,12,63
Sheridan,2019,20,18/5/2019,71,18,69
Sheridan,2019,19,11/5/2019,73,10,78
Sheridan,2019,18,4/5/2019,76,13,81
Sheridan,2019,17,27/4/2019,76,10,88
Sheridan,2019,16,20/4/2019,91,10,122
Sheridan,2019,15,13/4/2019,92,5,136
Sheridan,2019,14,6/4/2019,104,10,169
Sheridan,2019,13,30/3/2019,107,7,180
Sheridan,2019,12,23/3/2019,116,9,193
Sheridan,2019,11,16/3/2019,121,22,202
Sheridan,2019,10,9/3/2019,113,13,203
Sheridan,2019,9,2/3/2019,115,19,206
Sheridan,2019,8,23/2/2019,103,13,198
Sheridan,2019,7,16/2/2019,112,20,214
Sheridan,2019,6,9/2/2019,113,28,198
Sheridan,2019,5,2/2/2019,118,27,202
Sheridan,2019,4,26/1/2019,109,31,205
Sheridan,2019,3,19/1/2019,113,31,204
Sheridan,2019,2,12/1/2019,115,70,169
Sheridan,2019,1,5/1/2019,100,37,150
Sublette,2020,16,18/4/2020,123,42,210
Sublette,2020,15,11/4/2020,117,64,170
Sublette,2020,14,4/4/2020,99,85,118
Sublette,2020,13,28/3/2020,91,78,84
Sublette,2020,12,21/3/2020,57,21,80
Sublette,2020,11,14/3/2020,52,5,86
Sublette,2020,10,7/3/2020,,,
Sublette,2020,9,29/2/2020,52,6,82
Sublette,2020,8,22/2/2020,50,12,77
Sublette,2020,7,15/2/2020,52,13,72
Sublette,2020,6,8/2/2020,51,17,68
Sublette,2020,5,1/2/2020,50,7,76
Sublette,2020,4,25/1/2020,50,5,75
Sublette,2020,3,18/1/2020,50,15,60
Sublette,2020,2,11/1/2020,42,15,52
Sublette,2020,1,4/1/2020,36,7,50
Sublette,2019,52,28/12/2019,,,
Sublette,2019,51,21/12/2019,39,6,57
Sublette,2019,50,14/12/2019,37,5,59
Sublette,2019,49,7/12/2019,41,8,58
Sublette,2019,48,30/11/2019,39,7,54
Sublette,2019,47,23/11/2019,36,6,52
Sublette,2019,46,16/11/2019,37,10,45
Sublette,2019,45,9/11/2019,34,10,41
Sublette,2019,44,2/11/2019,35,7,39
Sublette,2019,43,26/10/2019,,,
Sublette,2019,42,19/10/2019,31,6,36
Sublette,2019,41,12/10/2019,25,8,27
Sublette,2019,40,5/10/2019,27,8,25
Sublette,2019,39,28/9/2019,,,
Sublette,2019,38,21/9/2019,,,
Sublette,2019,37,14/9/2019,,,
Sublette,2019,36,7/9/2019,,,
Sublette,2019,35,31/8/2019,16,0,21
Sublette,2019,34,24/8/2019,,,
Sublette,2019,33,17/8/2019,,,
Sublette,2019,32,10/8/2019,,,
Sublette,2019,31,3/8/2019,,,
Sublette,2019,30,27/7/2019,,,
Sublette,2019,29,20/7/2019,16,0,21
Sublette,2019,28,13/7/2019,,,
Sublette,2019,27,6/7/2019,,,
Sublette,2019,26,29/6/2019,,,
Sublette,2019,25,22/6/2019,,,
Sublette,2019,24,15/6/2019,18,5,18
Sublette,2019,23,8/6/2019,,,
Sublette,2019,22,1/6/2019,23,9,18
Sublette,2019,21,25/5/2019,,,
Sublette,2019,20,18/5/2019,,,
Sublette,2019,19,11/5/2019,,,
Sublette,2019,18,4/5/2019,,,
Sublette,2019,17,27/4/2019,,,
Sublette,2019,16,20/4/2019,,,
Sublette,2019,15,13/4/2019,,,
Sublette,2019,14,6/4/2019,,,
Sublette,2019,13,30/3/2019,,,
Sublette,2019,12,23/3/2019,,,
Sublette,2019,11,16/3/2019,,,
Sublette,2019,10,9/3/2019,,,
Sublette,2019,9,2/3/2019,,,
Sublette,2019,8,23/2/2019,43,7,48
Sublette,2019,7,16/2/2019,37,5,45
Sublette,2019,6,9/2/2019,37,6,44
Sublette,2019,5,2/2/2019,,,
Sublette,2019,4,26/1/2019,36,9,52
Sublette,2019,3,19/1/2019,,,
Sublette,2019,2,12/1/2019,39,18,50
Sublette,2019,1,5/1/2019,31,7,42
Sweetwater,2020,16,18/4/2020,440,195,"1,109"
Sweetwater,2020,15,11/4/2020,429,324,891
Sweetwater,2020,14,4/4/2020,400,432,666
Sweetwater,2020,13,28/3/2020,318,342,472
Sweetwater,2020,12,21/3/2020,235,215,360
Sweetwater,2020,11,14/3/2020,190,41,369
Sweetwater,2020,10,7/3/2020,176,30,365
Sweetwater,2020,9,29/2/2020,184,42,376
Sweetwater,2020,8,22/2/2020,193,19,388
Sweetwater,2020,7,15/2/2020,192,56,396
Sweetwater,2020,6,8/2/2020,192,50,383
Sweetwater,2020,5,1/2/2020,180,48,372
Sweetwater,2020,4,25/1/2020,178,51,360
Sweetwater,2020,3,18/1/2020,168,59,335
Sweetwater,2020,2,11/1/2020,162,52,337
Sweetwater,2020,1,4/1/2020,154,47,326
Sweetwater,2019,52,28/12/2019,140,42,293
Sweetwater,2019,51,21/12/2019,143,38,316
Sweetwater,2019,50,14/12/2019,141,56,288
Sweetwater,2019,49,7/12/2019,133,61,270
Sweetwater,2019,48,30/11/2019,113,42,224
Sweetwater,2019,47,23/11/2019,113,40,211
Sweetwater,2019,46,16/11/2019,108,31,191
Sweetwater,2019,45,9/11/2019,117,56,171
Sweetwater,2019,44,2/11/2019,102,31,142
Sweetwater,2019,43,26/10/2019,99,47,114
Sweetwater,2019,42,19/10/2019,86,36,107
Sweetwater,2019,41,12/10/2019,93,21,113
Sweetwater,2019,40,5/10/2019,90,19,108
Sweetwater,2019,39,28/9/2019,83,22,100
Sweetwater,2019,38,21/9/2019,87,20,100
Sweetwater,2019,37,14/9/2019,84,17,99
Sweetwater,2019,36,7/9/2019,80,14,93
Sweetwater,2019,35,31/8/2019,77,17,83
Sweetwater,2019,34,24/8/2019,83,16,97
Sweetwater,2019,33,17/8/2019,85,16,99
Sweetwater,2019,32,10/8/2019,80,15,103
Sweetwater,2019,31,3/8/2019,84,15,103
Sweetwater,2019,30,27/7/2019,84,7,113
Sweetwater,2019,29,20/7/2019,89,11,113
Sweetwater,2019,28,13/7/2019,94,11,125
Sweetwater,2019,27,6/7/2019,90,9,113
Sweetwater,2019,26,29/6/2019,99,16,125
Sweetwater,2019,25,22/6/2019,100,16,122
Sweetwater,2019,24,15/6/2019,94,15,118
Sweetwater,2019,23,8/6/2019,104,16,131
Sweetwater,2019,22,1/6/2019,104,25,127
Sweetwater,2019,21,25/5/2019,89,8,98
Sweetwater,2019,20,18/5/2019,112,12,135
Sweetwater,2019,19,11/5/2019,122,22,153
Sweetwater,2019,18,4/5/2019,121,18,170
Sweetwater,2019,17,27/4/2019,126,17,189
Sweetwater,2019,16,20/4/2019,140,27,200
Sweetwater,2019,15,13/4/2019,132,24,193
Sweetwater,2019,14,6/4/2019,142,16,215
Sweetwater,2019,13,30/3/2019,137,20,225
Sweetwater,2019,12,23/3/2019,134,13,228
Sweetwater,2019,11,16/3/2019,142,20,252
Sweetwater,2019,10,9/3/2019,137,19,246
Sweetwater,2019,9,2/3/2019,140,26,250
Sweetwater,2019,8,23/2/2019,133,17,253
Sweetwater,2019,7,16/2/2019,138,18,262
Sweetwater,2019,6,9/2/2019,148,28,278
Sweetwater,2019,5,2/2/2019,144,31,276
Sweetwater,2019,4,26/1/2019,149,48,266
Sweetwater,2019,3,19/1/2019,141,40,255
Sweetwater,2019,2,12/1/2019,147,65,248
Sweetwater,2019,1,5/1/2019,135,32,235
Teton,2020,16,18/4/2020,397,247,"1,503"
Teton,2020,15,11/4/2020,397,474,"1,255"
Teton,2020,14,4/4/2020,375,552,915
Teton,2020,13,28/3/2020,290,648,504
Teton,2020,12,21/3/2020,179,696,83
Teton,2020,11,14/3/2020,59,12,75
Teton,2020,10,7/3/2020,61,14,76
Teton,2020,9,29/2/2020,57,5,72
Teton,2020,8,22/2/2020,60,10,75
Teton,2020,7,15/2/2020,64,12,82
Teton,2020,6,8/2/2020,54,6,80
Teton,2020,5,1/2/2020,62,12,89
Teton,2020,4,25/1/2020,61,10,89
Teton,2020,3,18/1/2020,59,22,83
Teton,2020,2,11/1/2020,54,15,80
Teton,2020,1,4/1/2020,55,18,70
Teton,2019,52,28/12/2019,51,8,76
Teton,2019,51,21/12/2019,67,7,113
Teton,2019,50,14/12/2019,72,12,166
Teton,2019,49,7/12/2019,89,16,228
Teton,2019,48,30/11/2019,93,13,288
Teton,2019,47,23/11/2019,97,21,308
Teton,2019,46,16/11/2019,99,34,295
Teton,2019,45,9/11/2019,91,101,225
Teton,2019,44,2/11/2019,79,102,153
Teton,2019,43,26/10/2019,72,62,112
Teton,2019,42,19/10/2019,63,52,82
Teton,2019,41,12/10/2019,53,49,54
Teton,2019,40,5/10/2019,41,20,48
Teton,2019,39,28/9/2019,36,13,39
Teton,2019,38,21/9/2019,30,13,29
Teton,2019,37,14/9/2019,31,11,27
Teton,2019,36,7/9/2019,27,6,28
Teton,2019,35,31/8/2019,26,5,24
Teton,2019,34,24/8/2019,27,5,24
Teton,2019,33,17/8/2019,,,
Teton,2019,32,10/8/2019,25,5,22
Teton,2019,31,3/8/2019,,,
Teton,2019,30,27/7/2019,,,
Teton,2019,29,20/7/2019,,,
Teton,2019,28,13/7/2019,,,
Teton,2019,27,6/7/2019,,,
Teton,2019,26,29/6/2019,31,6,34
Teton,2019,25,22/6/2019,,,
Teton,2019,24,15/6/2019,,,
Teton,2019,23,8/6/2019,,,
Teton,2019,22,1/6/2019,,,
Teton,2019,21,25/5/2019,,,
Teton,2019,20,18/5/2019,75,5,198
Teton,2019,19,11/5/2019,89,9,282
Teton,2019,18,4/5/2019,98,27,309
Teton,2019,17,27/4/2019,98,31,300
Teton,2019,16,20/4/2019,98,70,263
Teton,2019,15,13/4/2019,91,193,133
Teton,2019,14,6/4/2019,73,74,86
Teton,2019,13,30/3/2019,60,18,78
Teton,2019,12,23/3/2019,60,24,62
Teton,2019,11,16/3/2019,51,11,60
Teton,2019,10,9/3/2019,48,6,66
Teton,2019,9,2/3/2019,57,10,69
Teton,2019,8,23/2/2019,49,6,69
Teton,2019,7,16/2/2019,,,
Teton,2019,6,9/2/2019,59,8,78
Teton,2019,5,2/2/2019,52,9,81
Teton,2019,4,26/1/2019,58,14,101
Teton,2019,3,19/1/2019,58,22,92
Teton,2019,2,12/1/2019,57,39,82
Teton,2019,1,5/1/2019,57,11,84
Uinta,2020,16,18/4/2020,193,77,355
Uinta,2020,15,11/4/2020,185,104,306
Uinta,2020,14,4/4/2020,167,147,205
Uinta,2020,13,28/3/2020,138,148,131
Uinta,2020,12,21/3/2020,99,71,97
Uinta,2020,11,14/3/2020,71,10,96
Uinta,2020,10,7/3/2020,78,17,94
Uinta,2020,9,29/2/2020,78,16,92
Uinta,2020,8,22/2/2020,70,7,96
Uinta,2020,7,15/2/2020,78,16,103
Uinta,2020,6,8/2/2020,69,8,98
Uinta,2020,5,1/2/2020,76,11,102
Uinta,2020,4,25/1/2020,73,10,100
Uinta,2020,3,18/1/2020,74,17,92
Uinta,2020,2,11/1/2020,74,14,93
Uinta,2020,1,4/1/2020,75,23,88
Uinta,2019,52,28/12/2019,61,13,72
Uinta,2019,51,21/12/2019,62,21,68
Uinta,2019,50,14/12/2019,63,16,71
Uinta,2019,49,7/12/2019,56,9,70
Uinta,2019,48,30/11/2019,50,8,64
Uinta,2019,47,23/11/2019,49,20,50
Uinta,2019,46,16/11/2019,,,
Uinta,2019,45,9/11/2019,48,11,52
Uinta,2019,44,2/11/2019,43,18,39
Uinta,2019,43,26/10/2019,28,5,32
Uinta,2019,42,19/10/2019,,,
Uinta,2019,41,12/10/2019,40,10,47
Uinta,2019,40,5/10/2019,36,5,42
Uinta,2019,39,28/9/2019,40,10,42
Uinta,2019,38,21/9/2019,33,6,38
Uinta,2019,37,14/9/2019,35,7,40
Uinta,2019,36,7/9/2019,,,
Uinta,2019,35,31/8/2019,33,8,37
Uinta,2019,34,24/8/2019,33,7,39
Uinta,2019,33,17/8/2019,33,12,36
Uinta,2019,32,10/8/2019,,,
Uinta,2019,31,3/8/2019,33,7,38
Uinta,2019,30,27/7/2019,,,
Uinta,2019,29,20/7/2019,32,7,40
Uinta,2019,28,13/7/2019,25,6,34
Uinta,2019,27,6/7/2019,28,5,37
Uinta,2019,26,29/6/2019,33,8,43
Uinta,2019,25,22/6/2019,29,7,40
Uinta,2019,24,15/6/2019,36,5,40
Uinta,2019,23,8/6/2019,37,9,46
Uinta,2019,22,1/6/2019,41,8,43
Uinta,2019,21,25/5/2019,28,0,36
Uinta,2019,20,18/5/2019,,,
Uinta,2019,19,11/5/2019,,,
Uinta,2019,18,4/5/2019,50,9,60
Uinta,2019,17,27/4/2019,50,7,66
Uinta,2019,16,20/4/2019,55,10,74
Uinta,2019,15,13/4/2019,50,10,66
Uinta,2019,14,6/4/2019,54,13,67
Uinta,2019,13,30/3/2019,56,7,71
Uinta,2019,12,23/3/2019,59,6,76
Uinta,2019,11,16/3/2019,63,13,77
Uinta,2019,10,9/3/2019,60,9,79
Uinta,2019,9,2/3/2019,58,10,76
Uinta,2019,8,23/2/2019,59,6,77
Uinta,2019,7,16/2/2019,51,5,75
Uinta,2019,6,9/2/2019,53,15,66
Uinta,2019,5,2/2/2019,56,17,71
Uinta,2019,4,26/1/2019,59,11,72
Uinta,2019,3,19/1/2019,56,10,73
Uinta,2019,2,12/1/2019,57,21,64
Uinta,2019,1,5/1/2019,57,10,72
Washakie,2020,16,18/4/2020,80,23,140
Washakie,2020,15,11/4/2020,76,38,112
Washakie,2020,14,4/4/2020,66,65,81
Washakie,2020,13,28/3/2020,53,48,63
Washakie,2020,12,21/3/2020,35,18,60
Washakie,2020,11,14/3/2020,32,8,64
Washakie,2020,10,7/3/2020,31,11,62
Washakie,2020,9,29/2/2020,33,15,58
Washakie,2020,8,22/2/2020,33,6,57
Washakie,2020,7,15/2/2020,37,10,58
Washakie,2020,6,8/2/2020,35,14,49
Washakie,2020,5,1/2/2020,33,5,45
Washakie,2020,4,25/1/2020,31,9,41
Washakie,2020,3,18/1/2020,30,8,45
Washakie,2020,2,11/1/2020,29,5,43
Washakie,2020,1,4/1/2020,30,8,41
Washakie,2019,52,28/12/2019,27,5,33
Washakie,2019,51,21/12/2019,30,6,39
Washakie,2019,50,14/12/2019,28,7,32
Washakie,2019,49,7/12/2019,23,6,29
Washakie,2019,48,30/11/2019,21,6,26
Washakie,2019,47,23/11/2019,18,6,19
Washakie,2019,46,16/11/2019,17,9,15
Washakie,2019,45,9/11/2019,,,
Washakie,2019,44,2/11/2019,11,5,11
Washakie,2019,43,26/10/2019,,,
Washakie,2019,42,19/10/2019,,,
Washakie,2019,41,12/10/2019,,,
Washakie,2019,40,5/10/2019,14,6,15
Washakie,2019,39,28/9/2019,,,
Washakie,2019,38,21/9/2019,15,14,11
Washakie,2019,37,14/9/2019,,,
Washakie,2019,36,7/9/2019,,,
Washakie,2019,35,31/8/2019,,,
Washakie,2019,34,24/8/2019,,,
Washakie,2019,33,17/8/2019,,,
Washakie,2019,32,10/8/2019,,,
Washakie,2019,31,3/8/2019,15,0,23
Washakie,2019,30,27/7/2019,18,0,26
Washakie,2019,29,20/7/2019,,,
Washakie,2019,28,13/7/2019,19,8,24
Washakie,2019,27,6/7/2019,,,
Washakie,2019,26,29/6/2019,13,0,27
Washakie,2019,25,22/6/2019,,,
Washakie,2019,24,15/6/2019,20,7,32
Washakie,2019,23,8/6/2019,17,7,28
Washakie,2019,22,1/6/2019,,,
Washakie,2019,21,25/5/2019,,,
Washakie,2019,20,18/5/2019,18,0,36
Washakie,2019,19,11/5/2019,,,
Washakie,2019,18,4/5/2019,,,
Washakie,2019,17,27/4/2019,19,0,41
Washakie,2019,16,20/4/2019,,,
Washakie,2019,15,13/4/2019,22,7,45
Washakie,2019,14,6/4/2019,,,
Washakie,2019,13,30/3/2019,,,
Washakie,2019,12,23/3/2019,30,7,62
Washakie,2019,11,16/3/2019,,,
Washakie,2019,10,9/3/2019,33,5,61
Washakie,2019,9,2/3/2019,36,12,57
Washakie,2019,8,23/2/2019,33,10,54
Washakie,2019,7,16/2/2019,35,11,47
Washakie,2019,6,9/2/2019,35,7,49
Washakie,2019,5,2/2/2019,37,7,51
Washakie,2019,4,26/1/2019,34,7,55
Washakie,2019,3,19/1/2019,35,11,55
Washakie,2019,2,12/1/2019,30,15,48
Washakie,2019,1,5/1/2019,,,
Weston,2020,16,18/4/2020,48,11,101
Weston,2020,15,11/4/2020,56,42,84
Weston,2020,14,4/4/2020,46,35,72
Weston,2020,13,28/3/2020,,,
Weston,2020,12,21/3/2020,27,30,28
Weston,2020,11,14/3/2020,21,9,28
Weston,2020,10,7/3/2020,,,
Weston,2020,9,29/2/2020,,,
Weston,2020,8,22/2/2020,,,
Weston,2020,7,15/2/2020,21,6,29
Weston,2020,6,8/2/2020,22,6,25
Weston,2020,5,1/2/2020,20,6,24
Weston,2020,4,25/1/2020,21,7,23
Weston,2020,3,18/1/2020,,,
Weston,2020,2,11/1/2020,18,6,18
Weston,2020,1,4/1/2020,17,7,15
Weston,2019,52,28/12/2019,,,
Weston,2019,51,21/12/2019,,,
Weston,2019,50,14/12/2019,,,
Weston,2019,49,7/12/2019,,,
Weston,2019,48,30/11/2019,,,
Weston,2019,47,23/11/2019,,,
Weston,2019,46,16/11/2019,,,
Weston,2019,45,9/11/2019,,,
Weston,2019,44,2/11/2019,,,
Weston,2019,43,26/10/2019,,,
Weston,2019,42,19/10/2019,,,
Weston,2019,41,12/10/2019,,,
Weston,2019,40,5/10/2019,,,
Weston,2019,39,28/9/2019,,,
Weston,2019,38,21/9/2019,8,0,8
Weston,2019,37,14/9/2019,9,0,9
Weston,2019,36,7/9/2019,,,
Weston,2019,35,31/8/2019,,,
Weston,2019,34,24/8/2019,,,
Weston,2019,33,17/8/2019,,,
Weston,2019,32,10/8/2019,,,
Weston,2019,31,3/8/2019,,,
Weston,2019,30,27/7/2019,,,
Weston,2019,29,20/7/2019,,,
Weston,2019,28,13/7/2019,,,
Weston,2019,27,6/7/2019,,,
Weston,2019,26,29/6/2019,,,
Weston,2019,25,22/6/2019,11,0,12
Weston,2019,24,15/6/2019,,,
Weston,2019,23,8/6/2019,,,
Weston,2019,22,1/6/2019,,,
Weston,2019,21,25/5/2019,,,
Weston,2019,20,18/5/2019,12,0,15
Weston,2019,19,11/5/2019,,,
Weston,2019,18,4/5/2019,,,
Weston,2019,17,27/4/2019,,,
Weston,2019,16,20/4/2019,,,
Weston,2019,15,13/4/2019,,,
Weston,2019,14,6/4/2019,,,
Weston,2019,13,30/3/2019,,,
Weston,2019,12,23/3/2019,26,6,31
Weston,2019,11,16/3/2019,,,
Weston,2019,10,9/3/2019,,,
Weston,2019,9,2/3/2019,,,
Weston,2019,8,23/2/2019,,,
Weston,2019,7,16/2/2019,,,
Weston,2019,6,9/2/2019,,,
Weston,2019,5,2/2/2019,24,6,22
Weston,2019,4,26/1/2019,,,
Weston,2019,3,19/1/2019,,,
Weston,2019,2,12/1/2019,20,6,18
Weston,2019,1,5/1/2019,,,
zOther State,2020,16,18/4/2020,668,461,"2,116"
zOther State,2020,15,11/4/2020,655,764,"1,724"
zOther State,2020,14,4/4/2020,594,672,"1,391"
zOther State,2020,13,28/3/2020,486,670,"1,017"
zOther State,2020,12,21/3/2020,355,434,831
zOther State,2020,11,14/3/2020,274,122,794
zOther State,2020,10,7/3/2020,283,144,805
zOther State,2020,9,29/2/2020,279,85,797
zOther State,2020,8,22/2/2020,275,63,826
zOther State,2020,7,15/2/2020,273,75,854
zOther State,2020,6,8/2/2020,271,86,856
zOther State,2020,5,1/2/2020,285,85,862
zOther State,2020,4,25/1/2020,283,84,867
zOther State,2020,3,18/1/2020,285,113,877
zOther State,2020,2,11/1/2020,266,167,870
zOther State,2020,1,4/1/2020,261,93,854
zOther State,2019,52,28/12/2019,260,103,812
zOther State,2019,51,21/12/2019,261,123,836
zOther State,2019,50,14/12/2019,267,133,870
zOther State,2019,49,7/12/2019,259,146,859
zOther State,2019,48,30/11/2019,250,105,811
zOther State,2019,47,23/11/2019,236,145,768
zOther State,2019,46,16/11/2019,223,146,678
zOther State,2019,45,9/11/2019,232,214,612
zOther State,2019,44,2/11/2019,208,184,532
zOther State,2019,43,26/10/2019,175,116,445
zOther State,2019,42,19/10/2019,179,192,386
zOther State,2019,41,12/10/2019,180,171,348
zOther State,2019,40,5/10/2019,166,117,311
zOther State,2019,39,28/9/2019,163,57,298
zOther State,2019,38,21/9/2019,156,51,285
zOther State,2019,37,14/9/2019,144,41,287
zOther State,2019,36,7/9/2019,149,35,310
zOther State,2019,35,31/8/2019,141,34,312
zOther State,2019,34,24/8/2019,150,33,317
zOther State,2019,33,17/8/2019,144,25,317
zOther State,2019,32,10/8/2019,142,23,335
zOther State,2019,31,3/8/2019,150,31,336
zOther State,2019,30,27/7/2019,151,32,352
zOther State,2019,29,20/7/2019,149,44,355
zOther State,2019,28,13/7/2019,153,48,375
zOther State,2019,27,6/7/2019,153,38,359
zOther State,2019,26,29/6/2019,157,54,345
zOther State,2019,25,22/6/2019,142,52,314
zOther State,2019,24,15/6/2019,149,60,323
zOther State,2019,23,8/6/2019,150,57,324
zOther State,2019,22,1/6/2019,157,72,321
zOther State,2019,21,25/5/2019,124,45,234
zOther State,2019,20,18/5/2019,153,30,334
zOther State,2019,19,11/5/2019,168,45,377
zOther State,2019,18,4/5/2019,179,57,418
zOther State,2019,17,27/4/2019,195,61,434
zOther State,2019,16,20/4/2019,193,62,452
zOther State,2019,15,13/4/2019,197,113,444
zOther State,2019,14,6/4/2019,192,46,507
zOther State,2019,13,30/3/2019,191,47,514
zOther State,2019,12,23/3/2019,202,50,534
zOther State,2019,11,16/3/2019,209,47,553
zOther State,2019,10,9/3/2019,218,87,541
zOther State,2019,9,2/3/2019,216,36,579
zOther State,2019,8,23/2/2019,220,29,609
zOther State,2019,7,16/2/2019,223,50,619
zOther State,2019,6,9/2/2019,225,60,631
zOther State,2019,5,2/2/2019,233,57,674
zOther State,2019,4,26/1/2019,246,56,735
zOther State,2019,3,19/1/2019,237,83,729
zOther State,2019,2,12/1/2019,259,161,672
zOther State,2019,1,5/1/2019,231,86,659
,,,,,,
Note: Blank cells indicate counts of zero or counts that were nondiscloseable due to confidentiality. ,,,,,,
"Prepared by T. Glover, Research & Planning, WY DWS, 04/16/20. ",,,,,,
