IDWD Research and Analysis,,,,,,,,,,
,,,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,,,
,,,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same,,
,,,,,,,,Week Last Year,,
"Adams County, IN",18,1,2020,April,4,14,968,8700.00%,,
"Adams County, IN",18,1,2020,April,4,15,403,100.00%,,
"Allen County, IN",18,3,2020,April,4,14,"6,848",7771.30%,,
"Allen County, IN",18,3,2020,April,4,15,"6,005",7223.20%,,
"Bartholomew County, IN",18,5,2020,April,4,14,"1,625",11507.10%,,
"Bartholomew County, IN",18,5,2020,April,4,15,"1,845",13078.60%,,
"Benton County, IN",18,7,2020,April,4,14,122,,,
"Benton County, IN",18,7,2020,April,4,15,132,100.00%,,
"Blackford County, IN",18,9,2020,April,4,14,257,100.00%,,
"Blackford County, IN",18,9,2020,April,4,15,194,100.00%,,
"Boone County, IN",18,11,2020,April,4,14,670,4685.70%,,
"Boone County, IN",18,11,2020,April,4,15,699,4560.00%,,
"Brown County, IN",18,13,2020,April,4,14,206,100.00%,,
"Brown County, IN",18,13,2020,April,4,15,248,100.00%,,
"Carroll County, IN",18,15,2020,April,4,14,265,2108.30%,,
"Carroll County, IN",18,15,2020,April,4,15,416,100.00%,,
"Cass County, IN",18,17,2020,April,4,14,574,655.30%,,
"Cass County, IN",18,17,2020,April,4,15,627,4378.60%,,
"Clark County, IN",18,19,2020,April,4,14,"1,827",8600.00%,,
"Clark County, IN",18,19,2020,April,4,15,"1,907",4440.50%,,
"Clay County, IN",18,21,2020,April,4,14,332,100.00%,,
"Clay County, IN",18,21,2020,April,4,15,344,2193.30%,,
"Clinton County, IN",18,23,2020,April,4,14,489,4790.00%,,
"Clinton County, IN",18,23,2020,April,4,15,652,100.00%,,
"Crawford County, IN",18,25,2020,April,4,14,175,100.00%,,
"Crawford County, IN",18,25,2020,April,4,15,165,100.00%,,
"Daviess County, IN",18,27,2020,April,4,14,201,100.00%,,
"Daviess County, IN",18,27,2020,April,4,15,224,1766.70%,,
"Dearborn County, IN",18,29,2020,April,4,14,525,100.00%,,
"Dearborn County, IN",18,29,2020,April,4,15,500,3746.20%,,
"Decatur County, IN",18,31,2020,April,4,14,802,5628.60%,,
"Decatur County, IN",18,31,2020,April,4,15,959,100.00%,,
"DeKalb County, IN",18,33,2020,April,4,14,838,7518.20%,,
"DeKalb County, IN",18,33,2020,April,4,15,706,5330.80%,,
"Delaware County, IN",18,35,2020,April,4,14,"1,696",3938.10%,,
"Delaware County, IN",18,35,2020,April,4,15,"1,565",5919.20%,,
"Dubois County, IN",18,37,2020,April,4,14,626,100.00%,,
"Dubois County, IN",18,37,2020,April,4,15,714,5850.00%,,
"Elkhart County, IN",18,39,2020,April,4,14,"7,487",7699.00%,,
"Elkhart County, IN",18,39,2020,April,4,15,"5,405",5147.60%,,
"Fayette County, IN",18,41,2020,April,4,14,454,100.00%,,
"Fayette County, IN",18,41,2020,April,4,15,432,100.00%,,
"Floyd County, IN",18,43,2020,April,4,14,"1,098",100.00%,,
"Floyd County, IN",18,43,2020,April,4,15,"1,185",100.00%,,
"Fountain County, IN",18,45,2020,April,4,14,277,100.00%,,
"Fountain County, IN",18,45,2020,April,4,15,304,100.00%,,
"Franklin County, IN",18,47,2020,April,4,14,405,100.00%,,
"Franklin County, IN",18,47,2020,April,4,15,374,100.00%,,
"Fulton County, IN",18,49,2020,April,4,14,371,100.00%,,
"Fulton County, IN",18,49,2020,April,4,15,326,100.00%,,
"Gibson County, IN",18,51,2020,April,4,14,909,100.00%,,
"Gibson County, IN",18,51,2020,April,4,15,"1,136",10227.30%,,
"Grant County, IN",18,53,2020,April,4,14,732,1563.60%,,
"Grant County, IN",18,53,2020,April,4,15,756,1700.00%,,
"Greene County, IN",18,55,2020,April,4,14,343,3330.00%,,
"Greene County, IN",18,55,2020,April,4,15,324,2845.50%,,
"Hamilton County, IN",18,57,2020,April,4,14,"3,756",4120.20%,,
"Hamilton County, IN",18,57,2020,April,4,15,"3,618",6478.20%,,
"Hancock County, IN",18,59,2020,April,4,14,"1,116",6100.00%,,
"Hancock County, IN",18,59,2020,April,4,15,"1,090",5350.00%,,
"Harrison County, IN",18,61,2020,April,4,14,604,4546.20%,,
"Harrison County, IN",18,61,2020,April,4,15,610,4257.10%,,
"Hendricks County, IN",18,63,2020,April,4,14,"1,782",3612.50%,,
"Hendricks County, IN",18,63,2020,April,4,15,"1,784",5654.80%,,
"Henry County, IN",18,65,2020,April,4,14,827,4252.60%,,
"Henry County, IN",18,65,2020,April,4,15,830,100.00%,,
"Howard County, IN",18,67,2020,April,4,14,"1,612",189.40%,,
"Howard County, IN",18,67,2020,April,4,15,"1,482",1902.70%,,
"Huntington County, IN",18,69,2020,April,4,14,647,100.00%,,
"Huntington County, IN",18,69,2020,April,4,15,549,2287.00%,,
"Jackson County, IN",18,71,2020,April,4,14,"1,071",5255.00%,,
"Jackson County, IN",18,71,2020,April,4,15,"1,317",10875.00%,,
"Jasper County, IN",18,73,2020,April,4,14,515,100.00%,,
"Jasper County, IN",18,73,2020,April,4,15,474,4640.00%,,
"Jay County, IN",18,75,2020,April,4,14,671,100.00%,,
"Jay County, IN",18,75,2020,April,4,15,281,100.00%,,
"Jefferson County, IN",18,77,2020,April,4,14,595,100.00%,,
"Jefferson County, IN",18,77,2020,April,4,15,651,100.00%,,
"Jennings County, IN",18,79,2020,April,4,14,536,100.00%,,
"Jennings County, IN",18,79,2020,April,4,15,641,100.00%,,
"Johnson County, IN",18,81,2020,April,4,14,"2,343",5614.60%,,
"Johnson County, IN",18,81,2020,April,4,15,"2,392",5215.60%,,
"Knox County, IN",18,83,2020,April,4,14,503,100.00%,,
"Knox County, IN",18,83,2020,April,4,15,510,100.00%,,
"Kosciusko County, IN",18,85,2020,April,4,14,"1,583",4697.00%,,
"Kosciusko County, IN",18,85,2020,April,4,15,"1,432",4239.40%,,
"LaGrange County, IN",18,87,2020,April,4,14,"1,257",100.00%,,
"LaGrange County, IN",18,87,2020,April,4,15,925,100.00%,,
"Lake County, IN",18,89,2020,April,4,14,"6,972",4125.50%,,
"Lake County, IN",18,89,2020,April,4,15,"6,324",3779.80%,,
"LaPorte County, IN",18,91,2020,April,4,14,"1,461",3552.50%,,
"LaPorte County, IN",18,91,2020,April,4,15,"1,629",4836.40%,,
"Lawrence County, IN",18,93,2020,April,4,14,613,6030.00%,,
"Lawrence County, IN",18,93,2020,April,4,15,613,100.00%,,
"Madison County, IN",18,95,2020,April,4,14,"2,287",4384.30%,,
"Madison County, IN",18,95,2020,April,4,15,"2,260",4331.40%,,
"Marion County, IN",18,97,2020,April,4,14,"13,603",3753.50%,,
"Marion County, IN",18,97,2020,April,4,15,"15,285",4205.60%,,
"Marshall County, IN",18,99,2020,April,4,14,"1,008",9980.00%,,
"Marshall County, IN",18,99,2020,April,4,15,919,100.00%,,
"Martin County, IN",18,101,2020,April,4,14,105,100.00%,,
"Martin County, IN",18,101,2020,April,4,15,103,100.00%,,
"Miami County, IN",18,103,2020,April,4,14,491,309.20%,,
"Miami County, IN",18,103,2020,April,4,15,499,1412.10%,,
"Monroe County, IN",18,105,2020,April,4,14,"1,457",7568.40%,,
"Monroe County, IN",18,105,2020,April,4,15,"1,412",7331.60%,,
"Montgomery County, IN",18,107,2020,April,4,14,491,4363.60%,,
"Montgomery County, IN",18,107,2020,April,4,15,624,4060.00%,,
"Morgan County, IN",18,109,2020,April,4,14,947,5470.60%,,
"Morgan County, IN",18,109,2020,April,4,15,"1,073",5547.40%,,
"Newton County, IN",18,111,2020,April,4,14,142,100.00%,,
"Newton County, IN",18,111,2020,April,4,15,116,100.00%,,
"Noble County, IN",18,113,2020,April,4,14,"1,441",7105.00%,,
"Noble County, IN",18,113,2020,April,4,15,"1,053",5165.00%,,
"Ohio County, IN",18,115,2020,April,4,14,86,100.00%,,
"Ohio County, IN",18,115,2020,April,4,15,70,100.00%,,
"Orange County, IN",18,117,2020,April,4,14,670,100.00%,,
"Orange County, IN",18,117,2020,April,4,15,351,100.00%,,
"Owen County, IN",18,119,2020,April,4,14,250,100.00%,,
"Owen County, IN",18,119,2020,April,4,15,244,100.00%,,
"Parke County, IN",18,121,2020,April,4,14,130,100.00%,,
"Parke County, IN",18,121,2020,April,4,15,137,100.00%,,
"Perry County, IN",18,123,2020,April,4,14,575,100.00%,,
"Perry County, IN",18,123,2020,April,4,15,348,2385.70%,,
"Pike County, IN",18,125,2020,April,4,14,207,100.00%,,
"Pike County, IN",18,125,2020,April,4,15,205,,,
"Porter County, IN",18,127,2020,April,4,14,"2,423",4006.80%,,
"Porter County, IN",18,127,2020,April,4,15,"2,472",4236.80%,,
"Posey County, IN",18,129,2020,April,4,14,235,2036.40%,,
"Posey County, IN",18,129,2020,April,4,15,261,100.00%,,
"Pulaski County, IN",18,131,2020,April,4,14,218,100.00%,,
"Pulaski County, IN",18,131,2020,April,4,15,208,100.00%,,
"Putnam County, IN",18,133,2020,April,4,14,528,100.00%,,
"Putnam County, IN",18,133,2020,April,4,15,515,2139.10%,,
"Randolph County, IN",18,135,2020,April,4,14,368,100.00%,,
"Randolph County, IN",18,135,2020,April,4,15,338,100.00%,,
"Ripley County, IN",18,137,2020,April,4,14,401,100.00%,,
"Ripley County, IN",18,137,2020,April,4,15,351,100.00%,,
"Rush County, IN",18,139,2020,April,4,14,377,100.00%,,
"Rush County, IN",18,139,2020,April,4,15,352,100.00%,,
"St. Joseph County, IN",18,141,2020,April,4,14,"5,814",5490.40%,,
"St. Joseph County, IN",18,141,2020,April,4,15,"4,925",4502.80%,,
"Scott County, IN",18,143,2020,April,4,14,557,100.00%,,
"Scott County, IN",18,143,2020,April,4,15,714,6390.90%,,
"Shelby County, IN",18,145,2020,April,4,14,899,4181.00%,,
"Shelby County, IN",18,145,2020,April,4,15,874,6142.90%,,
"Spencer County, IN",18,147,2020,April,4,14,367,100.00%,,
"Spencer County, IN",18,147,2020,April,4,15,350,100.00%,,
"Starke County, IN",18,149,2020,April,4,14,333,1981.30%,,
"Starke County, IN",18,149,2020,April,4,15,352,100.00%,,
"Steuben County, IN",18,151,2020,April,4,14,796,6023.10%,,
"Steuben County, IN",18,151,2020,April,4,15,587,3161.10%,,
"Sullivan County, IN",18,153,2020,April,4,14,255,100.00%,,
"Sullivan County, IN",18,153,2020,April,4,15,251,100.00%,,
"Switzerland County, IN",18,155,2020,April,4,14,112,100.00%,,
"Switzerland County, IN",18,155,2020,April,4,15,153,100.00%,,
"Tippecanoe County, IN",18,157,2020,April,4,14,"2,276",7748.30%,,
"Tippecanoe County, IN",18,157,2020,April,4,15,"3,960",11547.10%,,
"Tipton County, IN",18,159,2020,April,4,14,249,301.60%,,
"Tipton County, IN",18,159,2020,April,4,15,197,100.00%,,
"Union County, IN",18,161,2020,April,4,14,64,,,
"Union County, IN",18,161,2020,April,4,15,75,100.00%,,
"Vanderburgh County, IN",18,163,2020,April,4,14,"3,185",6400.00%,,
"Vanderburgh County, IN",18,163,2020,April,4,15,"4,040",8495.70%,,
"Vermillion County, IN",18,165,2020,April,4,14,132,100.00%,,
"Vermillion County, IN",18,165,2020,April,4,15,147,100.00%,,
"Vigo County, IN",18,167,2020,April,4,14,"1,537",4858.10%,,
"Vigo County, IN",18,167,2020,April,4,15,"1,428",2544.40%,,
"Wabash County, IN",18,169,2020,April,4,14,287,1950.00%,,
"Wabash County, IN",18,169,2020,April,4,15,326,100.00%,,
"Warren County, IN",18,171,2020,April,4,14,95,,,
"Warren County, IN",18,171,2020,April,4,15,102,,,
"Warrick County, IN",18,173,2020,April,4,14,992,5411.10%,,
"Warrick County, IN",18,173,2020,April,4,15,"1,042",6412.50%,,
"Washington County, IN",18,175,2020,April,4,14,365,3550.00%,,
"Washington County, IN",18,175,2020,April,4,15,390,100.00%,,
"Wayne County, IN",18,177,2020,April,4,14,786,4266.70%,,
"Wayne County, IN",18,177,2020,April,4,15,844,3416.70%,,
"Wells County, IN",18,179,2020,April,4,14,457,100.00%,,
"Wells County, IN",18,179,2020,April,4,15,333,100.00%,,
"White County, IN",18,181,2020,April,4,14,373,100.00%,,
"White County, IN",18,181,2020,April,4,15,430,100.00%,,
"Whitley County, IN",18,183,2020,April,4,14,671,6610.00%,,
"Whitley County, IN",18,183,2020,April,4,15,540,5300.00%,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Disclosure Code,Pct. Change from Same,Disclosure Code
,,,,,,,,,Week Last Year,
"Adams County, IN",18,1,2020,March,3,10,,(D),,(D)
"Adams County, IN",18,1,2020,March,3,11,,(D),,(D)
"Adams County, IN",18,1,2020,March,3,12,156,,100.00%,
"Adams County, IN",18,1,2020,March,3,13,902,,100.00%,
"Allen County, IN",18,3,2020,March,3,10,108,,22.70%,
"Allen County, IN",18,3,2020,March,3,11,115,,16.20%,
"Allen County, IN",18,3,2020,March,3,12,"3,561",,3688.30%,
"Allen County, IN",18,3,2020,March,3,13,"9,950",,12992.10%,
"Bartholomew County, IN",18,5,2020,March,3,10,13,,18.20%,
"Bartholomew County, IN",18,5,2020,March,3,11,17,,-5.60%,
"Bartholomew County, IN",18,5,2020,March,3,12,690,,4500.00%,
"Bartholomew County, IN",18,5,2020,March,3,13,"1,525",,9431.30%,
"Benton County, IN",18,7,2020,March,3,10,,(D),,(D)
"Benton County, IN",18,7,2020,March,3,12,30,,100.00%,
"Benton County, IN",18,7,2020,March,3,13,94,,100.00%,
"Blackford County, IN",18,9,2020,March,3,10,,(D),,(D)
"Blackford County, IN",18,9,2020,March,3,11,,(D),,(D)
"Blackford County, IN",18,9,2020,March,3,12,90,,100.00%,
"Blackford County, IN",18,9,2020,March,3,13,261,,100.00%,
"Boone County, IN",18,11,2020,March,3,10,21,,100.00%,
"Boone County, IN",18,11,2020,March,3,11,14,,7.70%,
"Boone County, IN",18,11,2020,March,3,12,358,,100.00%,
"Boone County, IN",18,11,2020,March,3,13,599,,3643.80%,
"Brown County, IN",18,13,2020,March,3,10,,(D),,(D)
"Brown County, IN",18,13,2020,March,3,11,,(D),,(D)
"Brown County, IN",18,13,2020,March,3,12,110,,100.00%,
"Brown County, IN",18,13,2020,March,3,13,236,,100.00%,
"Carroll County, IN",18,15,2020,March,3,10,,(D),,(D)
"Carroll County, IN",18,15,2020,March,3,11,,(D),,(D)
"Carroll County, IN",18,15,2020,March,3,12,88,,100.00%,
"Carroll County, IN",18,15,2020,March,3,13,252,,100.00%,
"Cass County, IN",18,17,2020,March,3,10,12,,-25.00%,
"Cass County, IN",18,17,2020,March,3,11,22,,69.20%,
"Cass County, IN",18,17,2020,March,3,12,233,,1194.40%,
"Cass County, IN",18,17,2020,March,3,13,646,,2484.00%,
"Clark County, IN",18,19,2020,March,3,10,29,,61.10%,
"Clark County, IN",18,19,2020,March,3,11,65,,282.40%,
"Clark County, IN",18,19,2020,March,3,12,"1,208",,9966.70%,
"Clark County, IN",18,19,2020,March,3,13,"2,056",,14585.70%,
"Clay County, IN",18,21,2020,March,3,10,15,,100.00%,
"Clay County, IN",18,21,2020,March,3,11,,(D),,(D)
"Clay County, IN",18,21,2020,March,3,12,156,,100.00%,
"Clay County, IN",18,21,2020,March,3,13,302,,2645.50%,
"Clinton County, IN",18,23,2020,March,3,10,,(D),,(D)
"Clinton County, IN",18,23,2020,March,3,11,,(D),,(D)
"Clinton County, IN",18,23,2020,March,3,12,156,,100.00%,
"Clinton County, IN",18,23,2020,March,3,13,496,,100.00%,
"Crawford County, IN",18,25,2020,March,3,11,,(D),,(D)
"Crawford County, IN",18,25,2020,March,3,12,59,,100.00%,
"Crawford County, IN",18,25,2020,March,3,13,172,,100.00%,
"Daviess County, IN",18,27,2020,March,3,10,,(D),,(D)
"Daviess County, IN",18,27,2020,March,3,11,,(D),,(D)
"Daviess County, IN",18,27,2020,March,3,12,115,,100.00%,
"Daviess County, IN",18,27,2020,March,3,13,273,,100.00%,
"Dearborn County, IN",18,29,2020,March,3,10,,(D),,(D)
"Dearborn County, IN",18,29,2020,March,3,11,17,,100.00%,
"Dearborn County, IN",18,29,2020,March,3,12,302,,100.00%,
"Dearborn County, IN",18,29,2020,March,3,13,411,,100.00%,
"Decatur County, IN",18,31,2020,March,3,10,,(D),,(D)
"Decatur County, IN",18,31,2020,March,3,11,,(D),,(D)
"Decatur County, IN",18,31,2020,March,3,12,240,,100.00%,
"Decatur County, IN",18,31,2020,March,3,13,629,,100.00%,
"DeKalb County, IN",18,33,2020,March,3,10,,(D),,(D)
"DeKalb County, IN",18,33,2020,March,3,11,11,,100.00%,
"DeKalb County, IN",18,33,2020,March,3,12,382,,100.00%,
"DeKalb County, IN",18,33,2020,March,3,13,"1,366",,100.00%,
"Delaware County, IN",18,35,2020,March,3,10,47,,56.70%,
"Delaware County, IN",18,35,2020,March,3,11,24,,,
"Delaware County, IN",18,35,2020,March,3,12,"1,010",,4490.90%,
"Delaware County, IN",18,35,2020,March,3,13,"2,148",,7571.40%,
"Dubois County, IN",18,37,2020,March,3,10,,(D),,(D)
"Dubois County, IN",18,37,2020,March,3,11,,(D),,(D)
"Dubois County, IN",18,37,2020,March,3,12,158,,100.00%,
"Dubois County, IN",18,37,2020,March,3,13,533,,100.00%,
"Elkhart County, IN",18,39,2020,March,3,10,81,,-37.20%,
"Elkhart County, IN",18,39,2020,March,3,11,50,,-32.40%,
"Elkhart County, IN",18,39,2020,March,3,12,"1,052",,1056.00%,
"Elkhart County, IN",18,39,2020,March,3,13,"9,844",,10837.80%,
"Fayette County, IN",18,41,2020,March,3,10,,(D),,(D)
"Fayette County, IN",18,41,2020,March,3,11,35,,100.00%,
"Fayette County, IN",18,41,2020,March,3,12,183,,1730.00%,
"Fayette County, IN",18,41,2020,March,3,13,444,,100.00%,
"Floyd County, IN",18,43,2020,March,3,10,14,,100.00%,
"Floyd County, IN",18,43,2020,March,3,11,13,,100.00%,
"Floyd County, IN",18,43,2020,March,3,12,742,,100.00%,
"Floyd County, IN",18,43,2020,March,3,13,"1,228",,12180.00%,
"Fountain County, IN",18,45,2020,March,3,10,,(D),,(D)
"Fountain County, IN",18,45,2020,March,3,11,,(D),,(D)
"Fountain County, IN",18,45,2020,March,3,12,109,,100.00%,
"Fountain County, IN",18,45,2020,March,3,13,292,,100.00%,
"Franklin County, IN",18,47,2020,March,3,10,,(D),,(D)
"Franklin County, IN",18,47,2020,March,3,11,,(D),,(D)
"Franklin County, IN",18,47,2020,March,3,12,138,,100.00%,
"Franklin County, IN",18,47,2020,March,3,13,353,,100.00%,
"Fulton County, IN",18,49,2020,March,3,10,,(D),,(D)
"Fulton County, IN",18,49,2020,March,3,11,,(D),,(D)
"Fulton County, IN",18,49,2020,March,3,12,115,,100.00%,
"Fulton County, IN",18,49,2020,March,3,13,320,,2809.10%,
"Gibson County, IN",18,51,2020,March,3,10,10,,-9.10%,
"Gibson County, IN",18,51,2020,March,3,11,11,,100.00%,
"Gibson County, IN",18,51,2020,March,3,12,281,,100.00%,
"Gibson County, IN",18,51,2020,March,3,13,666,,100.00%,
"Grant County, IN",18,53,2020,March,3,10,26,,18.20%,
"Grant County, IN",18,53,2020,March,3,11,28,,47.40%,
"Grant County, IN",18,53,2020,March,3,12,457,,1977.30%,
"Grant County, IN",18,53,2020,March,3,13,"1,091",,5095.20%,
"Greene County, IN",18,55,2020,March,3,10,,(D),,(D)
"Greene County, IN",18,55,2020,March,3,11,16,,-5.90%,
"Greene County, IN",18,55,2020,March,3,12,113,,100.00%,
"Greene County, IN",18,55,2020,March,3,13,274,,100.00%,
"Hamilton County, IN",18,57,2020,March,3,10,52,,-14.80%,
"Hamilton County, IN",18,57,2020,March,3,11,83,,29.70%,
"Hamilton County, IN",18,57,2020,March,3,12,"2,247",,3985.50%,
"Hamilton County, IN",18,57,2020,March,3,13,"3,554",,6868.60%,
"Hancock County, IN",18,59,2020,March,3,10,13,,-51.90%,
"Hancock County, IN",18,59,2020,March,3,11,19,,11.80%,
"Hancock County, IN",18,59,2020,March,3,12,634,,3236.80%,
"Hancock County, IN",18,59,2020,March,3,13,"1,060",,7471.40%,
"Harrison County, IN",18,61,2020,March,3,10,,(D),,(D)
"Harrison County, IN",18,61,2020,March,3,11,12,,100.00%,
"Harrison County, IN",18,61,2020,March,3,12,308,,100.00%,
"Harrison County, IN",18,61,2020,March,3,13,686,,5616.70%,
"Hendricks County, IN",18,63,2020,March,3,10,35,,-5.40%,
"Hendricks County, IN",18,63,2020,March,3,11,25,,4.20%,
"Hendricks County, IN",18,63,2020,March,3,12,962,,3335.70%,
"Hendricks County, IN",18,63,2020,March,3,13,"1,532",,5792.30%,
"Henry County, IN",18,65,2020,March,3,10,10,,-9.10%,
"Henry County, IN",18,65,2020,March,3,11,14,,100.00%,
"Henry County, IN",18,65,2020,March,3,12,318,,2790.90%,
"Henry County, IN",18,65,2020,March,3,13,859,,7058.30%,
"Howard County, IN",18,67,2020,March,3,10,27,,-20.60%,
"Howard County, IN",18,67,2020,March,3,11,120,,400.00%,
"Howard County, IN",18,67,2020,March,3,12,"1,512",,1916.00%,
"Howard County, IN",18,67,2020,March,3,13,"4,579",,2854.20%,
"Huntington County, IN",18,69,2020,March,3,10,13,,100.00%,
"Huntington County, IN",18,69,2020,March,3,11,12,,-14.30%,
"Huntington County, IN",18,69,2020,March,3,12,304,,100.00%,
"Huntington County, IN",18,69,2020,March,3,13,"1,180",,10627.30%,
"Jackson County, IN",18,71,2020,March,3,10,,(D),,(D)
"Jackson County, IN",18,71,2020,March,3,11,,(D),,(D)
"Jackson County, IN",18,71,2020,March,3,12,299,,2890.00%,
"Jackson County, IN",18,71,2020,March,3,13,"1,063",,7492.90%,
"Jasper County, IN",18,73,2020,March,3,10,12,,-25.00%,
"Jasper County, IN",18,73,2020,March,3,11,21,,90.90%,
"Jasper County, IN",18,73,2020,March,3,12,235,,1578.60%,
"Jasper County, IN",18,73,2020,March,3,13,394,,100.00%,
"Jay County, IN",18,75,2020,March,3,10,,(D),,(D)
"Jay County, IN",18,75,2020,March,3,11,,(D),,(D)
